מטבח כשר,משופצת,"ממ""ד",מזגן תדיראן,ריהוט,גישה לנכים,מיזוג,מעלית,מחסן,סורגים,חניות,מרפסות,קומות בבנין,מצב הנכס,סוג נכס,עיר,שכונה,תיווך,חדרים,קומה,"מ""ר",מחיר
1,1,1,1,1,1,1,1,1,1,1,1,7,במצב שמור,דירה, אשדוד,"["" רובע ב'""]",0,4,4,120,"1,360,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,20,חדש,דירה, אשדוד,"[' הקריה מע""ר']",1,5,16,160,"3,100,000 ₪"
1,0,1,0,0,1,1,1,1,0,1,1,8,במצב שמור,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",0,5,6,150,"2,100,000 ₪"
1,1,1,0,1,1,1,0,1,0,3,3,,חדש,בית פרטי/קוטג', אשדוד,"[' רובע ט""ו']",0,7,קרקע,600,"8,100,000 ₪"
1,0,1,1,0,1,0,1,1,0,1,1,7,במצב שמור,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",1,5.5,1,245,"2,690,000 ₪"
1,1,1,1,1,1,1,1,1,1,2,1,10,משופץ,דירה, אשדוד,[' מרינה'],1,5,5,177,"3,800,000 ₪"
0,0,1,1,1,1,1,1,1,0,1,1,29,חדש,דירה, אשדוד,"["" רובע א'""]",0,4,14,130,"2,760,000 ₪"
,,,,,0,,,0,,,,,,מגרשים,מגרשים,[],1,-,קרקע,100,"200,000 ₪"
1,1,0,0,0,1,1,1,0,0,ללא,1,9,משופץ,דירה, אשדוד,"["" רובע ד'""]",1,4,2,121,"1,730,000 ₪"
1,0,0,0,1,0,1,1,0,1,1,1,13,במצב שמור,דירה, אשדוד,"[' רובע י""א']",0,4,10,121,"2,100,000 ₪"
0,0,1,0,0,0,0,1,0,0,1,1,7,חדש מקבלן,גג/פנטהאוז, אשדוד,"["" רובע ו'""]",1,3,7,80,"1,410,000 ₪"
0,1,1,0,0,0,1,0,0,1,ללא,,3,משופץ,דירה, אשדוד,"["" רובע י'""]",1,4,1,91,"1,590,000 ₪"
0,1,0,0,0,0,1,0,1,0,ללא,,4,משופץ,דירה, אשדוד,"["" רובע ג'""]",0,3,קרקע,60,"1,360,000 ₪"
1,1,1,1,0,1,1,1,1,0,1,1,21,משופץ,דירה, אשדוד,"[' הקריה מע""ר']",1,5.5,15,179,"3,300,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,,7,משופץ,דירה, אשדוד,"["" רובע ד'""]",0,4,2,100,"1,500,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,,9,משופץ,דירה, אשדוד,"["" רובע ד'""]",0,4,7,110,"1,760,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,8,במצב שמור,דירה, אשדוד,"["" רובע ד'""]",1,4.5,5,137,"1,900,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,2,4,במצב שמור,דירה, אשדוד,"["" רובע ח'""]",1,5,2,125,"1,700,000 ₪"
,,,,,1,,,1,,,,,,מגרשים,מגרשים,[],1,-,קרקע,124,"390,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,8,משופץ,,,,0,,,,
0,1,1,1,1,1,1,1,1,1,1,,,משופץ,דירת גן, אשדוד,"[' רובע הקריה', ' הסיטי']",1,6,קרקע,270,"3,350,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,8,במצב שמור,דירה, אשדוד,"["" רובע ד'""]",1,4,5,115,"1,680,000 ₪"
1,1,1,1,1,1,1,1,1,1,2,1,6,משופץ,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",1,5,5,164,"2,420,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,,17,חדש,דירת גן, אשדוד,"[' רובע ט""ז']",1,4,קרקע,130,"2,590,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,2,,משופץ,בית פרטי/קוטג', אשדוד,"[' רובע י""ז']",1,6,קרקע,300,"6,800,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,9,משופץ,דירה, אשדוד,"[' רובע י""ג']",1,4,7,115,"1,830,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,7,חדש מקבלן,דירה, אשדוד,"["" רובע ו'""]",1,3,7,75,"1,470,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,1,18,חדש,דירה, אשדוד,"[' הקריה מע""ר']",1,4,3,156,"2,600,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,7,במצב שמור,דירה, אשדוד,"[' רובע י""ב']",1,4,5,120,"2,050,000 ₪"
1,1,1,1,1,1,1,1,1,1,2,1,8,במצב שמור,דירה, אשדוד,"[' רובע ט""ו']",1,5.5,4,150,"2,350,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,8,במצב שמור,דירה, אשדוד,"["" רובע ד'""]",1,4.5,7,152,"1,950,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,4,במצב שמור,דירה, אשדוד,"[' רובע ט""ו']",1,4,3,110,"1,950,000 ₪"
0,1,1,1,1,1,1,1,1,1,ללא,1,8,במצב שמור,דירה, אשדוד,[],1,5,8,135,"1,850,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,10,במצב שמור,דירה, אשדוד,[],1,2,8,60,"1,170,000 ₪"
1,,,,,,,,,,2,1,17,חדש,גג/פנטהאוז, אשדוד,"["" רובע ח'""]",0,6,16,410,"3,899,993 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,13,במצב שמור,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",0,4,6,121,"1,890,000 ₪"
0,1,1,1,1,1,1,1,1,1,2,1,19,חדש,דירה, אשדוד,[],0,5,6,185,"3,080,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,4,במצב שמור,דירה, אשדוד,[],1,4,1,110,"1,890,000 ₪"
