מטבח כשר,משופצת,"ממ""ד",מזגן תדיראן,ריהוט,גישה לנכים,מיזוג,מעלית,מחסן,סורגים,חניות,מרפסות,קומות בבנין,מצב הנכס,סוג נכס,עיר,שכונה,תיווך,חדרים,קומה,"מ""ר",מחיר
0,1,0,1,1,0,1,0,1,1,ללא,1,3,משופץ,גג/פנטהאוז, אשדוד,"["" רובע ג'""]",1,5,3,120,"1,600,000 ₪"
0,0,0,1,0,0,1,1,0,1,1,1,9,דרוש שיפוץ,דירה, אשדוד,"["" רובע ה'""]",1,3,9,105,"1,590,000 ₪"
0,0,1,0,0,0,1,1,1,0,1,1,9,במצב שמור,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",1,4.5,7,130,"2,200,000 ₪"
0,0,1,0,1,1,1,0,1,0,1,,7,חדש,דירת גן, אשדוד,"["" רובע ח'""]",0,4,קרקע,230,"2,300,000 ₪"
0,1,1,0,1,1,1,1,0,0,ללא,2,7,חדש,דירה, אשדוד,"["" רובע ד'""]",1,4,6,130,"1,800,000 ₪"
0,,,,,1,,,1,,,,,,מגרשים,מגרשים,[],1,-,קרקע,100,"360,000 ₪"
0,0,0,0,0,0,1,1,0,0,ללא,,8,במצב שמור,דירה, אשדוד,"["" רובע א'""]",1,5,7,120,"1,950,000 ₪"
0,1,0,1,0,0,1,1,0,0,2,1,7,משופץ,דירה, אשדוד,"[' רובע י""א']",1,4,7,118,"2,199,999 ₪"
0,1,1,0,0,1,1,1,1,0,1,1,12,משופץ,דירה, אשדוד,"[' רובע ט""ז']",1,5,1,140,"2,750,000 ₪"
0,1,1,1,1,1,1,1,1,1,ללא,1,3,משופץ,דירה, אשדוד,"["" רובע י'""]",1,3,2,69,"1,300,000 ₪"
0,1,1,1,0,1,1,1,1,1,1,1,13,משופץ,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",1,4,6,130,"2,300,000 ₪"
1,0,1,0,0,1,1,1,0,0,1,1,7,במצב שמור,,,,1,,,,
1,1,1,1,0,1,1,1,0,0,1,1,7,משופץ,דירה, אשדוד,[],,5,1,122,לא צוין מחיר
0,0,1,0,0,0,1,1,0,0,1,1,7,חדש מקבלן,דירה, אשדוד,[],1,4,5,110,"1,550,000 ₪"
0,1,1,1,0,1,1,1,0,0,1,1,10,חדש,דירה, אשדוד,"["" רובע ה'""]",1,3,5,110,"1,790,000 ₪"
0,1,1,0,0,1,1,1,0,0,1,2,7,חדש מקבלן,דירה,דירה,[],0,4,קרקע,200,"1,620,000 ₪"
1,1,1,0,0,0,1,1,1,0,1,1,9,משופץ,דירה, אשדוד,"["" רובע ט'""]",,5,3,161,"2,390,000 ₪"
1,1,0,0,0,0,1,0,0,1,1,,3,משופץ,דירה, אשדוד,"["" רובע ג'""]",0,3.5,3,72,"1,280,000 ₪"
0,1,0,1,0,1,1,1,0,0,1,1,8,משופץ,דירה, אשדוד,"[' רובע ט""ו']",1,3,4,80,"1,550,000 ₪"
1,0,1,0,0,0,1,1,0,0,1,1,7,דרוש שיפוץ,דירה,דירה,[],1,4.5,1,132,"1,850,000 ₪"
0,0,1,1,0,1,1,1,0,0,ללא,1,7,במצב שמור,דירה, אשדוד,"["" רובע א'""]",1,4,2,110,"1,780,000 ₪"
0,0,0,0,0,0,1,0,0,0,ללא,,4,במצב שמור,דירה, אשדוד,[],0,3,1,87,"1,480,000 ₪"
0,1,1,0,0,0,1,1,1,0,2,1,20,חדש,דירה, אשדוד,"["" רובע א'""]",1,5,13,219,לא צוין מחיר
0,1,0,0,0,0,1,0,0,0,ללא,,3,משופץ,דירה, אשדוד,[],1,3,3,82,"1,380,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,6,משופץ,דירה, אשדוד,[],1,4,3,124,"2,050,000 ₪"
0,1,0,0,0,0,1,0,0,0,ללא,,3,משופץ,דירה, אשדוד,"["" רובע ה'""]",1,3.5,2,68,"1,300,000 ₪"
0,,,,,,,,,,2,3,,משופץ,דו משפחתי, אשדוד,"["" רובע ט'""]",0,7,קרקע,387,"4,800,000 ₪"
0,0,1,1,0,1,1,1,0,0,1,,16,חדש,דירה, אשדוד,[],0,4,10,135,"2,090,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,8,משופץ,דירה, אשדוד,"[' רובע י""ז']",0,5,1,166,"2,590,000 ₪"
1,0,1,0,0,0,1,1,0,0,1,,8,במצב שמור,דירה, אשדוד,[],1,4,1,118,"1,780,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,24,חדש מקבלן,דירה,דירה,[],,5,19,160,"2,890,000 ₪"
1,1,1,1,1,1,1,1,1,0,1,1,9,חדש,גג/פנטהאוז, אשדוד,"["" רובע א'""]",0,5,9,390,"4,650,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,3,,במצב שמור,בית פרטי/קוטג', אשדוד,[],1,5,קרקע,140,"3,150,000 ₪"
0,1,0,0,0,0,1,0,0,0,1,1,3,משופץ,דירה, אשדוד,"["" רובע א'""]",1,3.5,3,90,"1,750,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,,2,משופץ,דירה, אשדוד,"["" רובע י'""]",1,5,2,128,"1,930,000 ₪"
0,1,1,1,1,1,1,1,1,1,ללא,1,7,משופץ,דירה, אשדוד,"["" רובע א'""]",1,5,4,140,לא צוין מחיר
0,1,0,1,1,0,1,0,0,1,ללא,2,2,משופץ,דירת גן, אשדוד,"["" רובע י'""]",0,3,1,190,"2,100,000 ₪"
0,0,1,1,0,0,1,1,0,0,ללא,1,7,משופץ,דירה, אשדוד,"["" רובע א'""]",1,4,2,100,"1,650,000 ₪"
0,1,0,1,0,1,1,1,0,0,1,,9,משופץ,דירה, אשדוד,"["" רובע י'""]",0,3,6,85,"1,550,000 ₪"
0,1,0,0,0,0,0,1,0,0,1,,9,משופץ,דירה, אשדוד,"["" רובע א'""]",1,5,6,135,"1,650,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,2,7,חדש,גג/פנטהאוז, אשדוד,"["" רובע ו'""]",1,3,7,97,"1,560,000 ₪"
0,1,0,1,0,0,1,0,0,1,3,,4,משופץ,דירה, אשדוד,"["" רובע ג'""]",1,3,1,65,"1,350,000 ₪"
0,1,1,1,1,0,1,1,1,0,1,1,8,משופץ,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",1,7,5,160,"2,750,000 ₪"
0,1,0,0,0,0,1,0,0,1,ללא,,2,משופץ,דירה, אשדוד,"["" רובע א'""]",1,2.5,1,50,"1,080,000 ₪"
0,1,1,1,0,0,1,1,0,0,ללא,,6,משופץ,דירה, אשדוד,"["" רובע א'""]",0,4,1,100,"1,600,000 ₪"
0,1,1,0,0,0,1,1,1,1,ללא,1,6,משופץ,דירה, אשדוד,"["" רובע ג'""]",0,3,3,98,"1,500,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,7,חדש,דירה, אשדוד,"["" רובע ג'""]",0,4.5,6,136,"1,680,000 ₪"
1,0,0,0,0,0,0,0,0,0,1,,4,דרוש שיפוץ,דירה, אשדוד,"["" רובע ב'""]",1,2,קרקע,60,"940,000 ₪"
1,1,0,0,0,0,1,1,1,1,ללא,,5,משופץ,דירה, אשדוד,"["" רובע ג'""]",,4,3,125,"1,700,000 ₪"
0,0,1,0,0,0,1,1,0,0,ללא,1,9,במצב שמור,דירה, אשדוד,"[' רובע י""א']",0,5.5,2,135,"2,450,000 ₪"
0,0,0,0,1,0,1,0,0,0,ללא,,4,במצב שמור,דירה, אשדוד,"["" רובע ו'""]",1,3,3,67,"1,250,000 ₪"
0,0,0,0,0,0,1,0,0,0,1,1,8,משופץ,,,,1,,,,
1,1,1,1,1,1,1,1,1,1,1,2,7,חדש מקבלן,דירה,דירה,[],1,4,5,96,"1,280,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,2,7,חדש מקבלן,גג/פנטהאוז, אשדוד,[],0,4,7,94,"1,850,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,8,במצב שמור,דירה, אשדוד,"[' רובע י""א']",1,4.5,6,126,"2,080,000 ₪"
1,1,0,0,0,1,1,1,0,0,1,2,9,משופץ,דירה, אשדוד,"["" רובע ה'""]",1,4,7,130,לא צוין מחיר
0,0,1,0,0,0,0,1,0,0,1,1,7,חדש מקבלן,דירת גן,דירת גן,[],1,3,קרקע,75,"1,460,000 ₪"
0,1,1,1,1,1,1,0,1,1,2,2,,משופץ,בית פרטי/קוטג', אשדוד,[],1,5,קרקע,550,לא צוין מחיר
0,1,1,1,1,1,1,1,1,1,1,1,18,משופץ,דירה, אשדוד,"[' רובע ט""ז']",0,4,8,132,לא צוין מחיר
0,1,1,0,0,1,1,1,0,1,ללא,1,7,משופץ,דירה, אשדוד,"["" רובע ה'""]",0,4.5,7,120,"1,880,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,,4,משופץ,דירה, אשדוד,"["" רובע ה'""]",0,3,1,80,"1,390,000 ₪"
0,1,1,1,1,1,1,1,1,1,ללא,1,2,משופץ,דירה, אשדוד,"["" רובע י'""]",1,4,1,100,"1,620,000 ₪"
0,1,1,1,1,1,1,1,1,1,ללא,,4,במצב שמור,דירה, אשדוד,"["" רובע ח'""]",,4,4,90,"1,380,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,,8,משופץ,דירת גן, אשדוד,"[' רובע הקריה', ' הסיטי']",0,4,קרקע,225,"2,445,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,2,6,משופץ,דירת גן, אשדוד,"[' רובע הקריה', ' הסיטי']",1,5,קרקע,175,"3,100,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,,7,משופץ,דירה, אשדוד,[],1,4,5,120,"1,620,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,,4,משופץ,דירה, אשדוד,"[' רובע י""ג']",1,5,3,113,"1,730,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,7,במצב שמור,דירה,דירה,[],1,4,7,100,"1,380,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,3,5,חדש,דירה,דירה,[],0,6,קרקע,לא צוין,"4,600,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,2,10,במצב שמור,גג/פנטהאוז, אשדוד,[],1,6,9,208,"3,100,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,1,8,במצב שמור,דירה, אשדוד,"[' רובע י""ב']",0,3.5,3,113,"1,989,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,,7,משופץ,דירה, אשדוד,[],1,4,3,101,"1,380,000 ₪"
0,1,1,1,0,1,1,1,1,1,1,,10,במצב שמור,דירה, אשדוד,"["" רובע ט'""]",1,2,6,60,"1,100,000 ₪"
0,1,0,0,0,0,1,0,0,1,ללא,,4,משופץ,דירה, אשדוד,"["" רובע ב'""]",1,2.5,1,60,"1,129,000 ₪"
0,0,1,0,0,0,1,0,0,0,2,2,4,במצב שמור,דופלקס, אשדוד,"["" רובע ה'""]",1,6,2,210,"2,820,000 ₪"
0,0,0,0,0,1,1,0,0,1,ללא,,3,במצב שמור,דירת גן, אשדוד,"["" רובע ב'""]",1,3.5,קרקע,85,"1,190,000 ₪"
0,0,0,0,0,0,1,0,0,0,ללא,,4,משופץ,דירה, אשדוד,"["" רובע ד'""]",0,3.5,3,96,"1,600,000 ₪"
0,1,0,1,1,1,1,1,0,1,1,,7,משופץ,דירה, אשדוד,"["" רובע ד'""]",0,4,3,126,"1,570,000 ₪"
0,0,0,0,0,1,0,1,0,0,1,,6,דרוש שיפוץ,דירה, אשדוד,"["" רובע א'""]",0,4.5,5,140,"1,700,000 ₪"
0,1,1,1,0,0,1,0,0,0,1,2,2,משופץ,דופלקס, אשדוד,"["" רובע ט'""]",1,5,1,150,"2,500,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,,9,משופץ,דירה, אשדוד,"[' רובע י""א']",1,4.5,2,122,"1,930,000 ₪"
0,1,1,1,0,0,1,0,0,0,1,3,1,משופץ,דופלקס, אשדוד,"[' רובע י""ב']",1,5.5,1,140,"3,300,000 ₪"
0,1,0,0,0,0,1,0,0,1,ללא,,4,משופץ,דירה, אשדוד,"["" רובע ג'""]",1,3,4,63,"1,180,000 ₪"
1,1,1,1,1,1,1,1,1,1,2,2,,משופץ,בית פרטי/קוטג', אשדוד,"[' רובע ט""ו']",1,5.5,קרקע,600,"10,000,000 ₪"
1,0,1,1,1,1,1,1,1,1,1,2,8,משופץ,גג/פנטהאוז, אשדוד,"[' רובע י""א']",1,7,8,254,"3,300,000 ₪"
0,0,1,1,0,0,1,1,0,1,ללא,2,7,חדש,דירה, אשדוד,"["" רובע ח'""]",1,4,6,104,"1,750,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,4,במצב שמור,דירה, אשדוד,"[' רובע ט""ו']",1,5,1,170,לא צוין מחיר
0,1,0,1,0,1,0,1,1,1,1,1,9,משופץ,דירה, אשדוד,"[' רובע י""א']",,5.5,4,140,"2,400,000 ₪"
1,1,0,0,0,0,1,1,0,1,ללא,,7,משופץ,דירה, אשדוד,"["" רובע ד'""]",0,4,6,100,"1,590,000 ₪"
1,1,1,0,0,0,1,1,1,0,1,1,7,משופץ,דירה, אשדוד,"[' הקריה מע""ר']",1,5.5,7,150,"2,150,000 ₪"
0,0,0,0,0,1,1,1,0,0,ללא,,8,משופץ,דירה, אשדוד,"["" רובע ה'""]",1,3,7,80,"1,350,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,7,במצב שמור,,,,1,,,,
0,1,1,1,1,1,1,1,1,1,1,1,19,חדש מקבלן,דירה, אשדוד,"[' הקריה מע""ר']",0,2,2,77,"1,690,000 ₪"
0,0,0,0,0,0,0,1,0,0,ללא,1,8,משופץ,דירה, אשדוד,"[' רובע י""א']",1,4,4,134,"1,850,000 ₪"
0,1,0,1,0,1,1,1,0,0,1,1,7,משופץ,דירה, אשדוד,"["" רובע ה'""]",1,4,5,120,"1,750,000 ₪"
0,0,0,1,0,0,1,0,0,1,ללא,,3,דרוש שיפוץ,דירה, אשדוד,[],1,4,3,86,"1,230,000 ₪"
1,0,0,0,0,0,0,0,0,0,ללא,,4,במצב שמור,דירה, אשדוד,[],1,3,4,75,"1,390,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,,7,חדש,גג/פנטהאוז,גג/פנטהאוז,[],0,4,7,130,"2,100,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,,,במצב שמור,בית פרטי/קוטג', אשדוד,[],0,5,קרקע,560,"4,190,000 ₪"
0,1,1,1,1,1,1,1,1,1,ללא,1,7,במצב שמור,דירה,דירה,[],0,4,4,100,"1,500,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,,8,במצב שמור,דירה, אשדוד,"["" רובע ב'""]",1,3,8,78,"1,080,000 ₪"
1,1,0,0,0,0,1,0,0,1,ללא,,1,משופץ,דירת גן, אשדוד,"["" רובע י'""]",,4,קרקע,101,"1,950,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,6,חדש,דירה, אשדוד,[],0,5,4,200,"3,100,000 ₪"
1,1,1,1,1,1,1,1,1,1,2,1,21,חדש,דירה, אשדוד,[],1,5,19,174,"4,100,000 ₪"
0,0,1,0,0,1,0,1,0,0,1,2,7,חדש מקבלן,דירה,דירה,[],1,4,5,96,"1,280,000 ₪"
0,1,1,1,1,1,1,1,1,1,ללא,2,7,חדש מקבלן,גג/פנטהאוז, אשדוד,[],1,4,7,94,"1,850,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,8,במצב שמור,דירה, אשדוד,"[' רובע י""א']",1,4.5,6,126,"2,080,000 ₪"
0,1,0,0,0,1,1,1,0,0,1,2,9,משופץ,דירה, אשדוד,"["" רובע ה'""]",0,4,7,130,לא צוין מחיר
0,0,1,0,0,0,0,1,0,0,1,1,7,חדש מקבלן,דירת גן,דירת גן,[],1,3,קרקע,75,"1,460,000 ₪"
0,1,1,1,1,1,1,0,1,1,2,2,,משופץ,בית פרטי/קוטג', אשדוד,[],0,5,קרקע,550,לא צוין מחיר
0,,,,,,,,,,,,,,דירת גן, אשדוד,[],1,6.5,קרקע,462,"3,490,000 ₪"
0,1,1,1,0,1,1,1,0,0,1,1,8,משופץ,דירה, אשדוד,[],1,4,5,120,"1,850,000 ₪"
0,1,0,1,0,0,1,1,0,0,ללא,1,7,משופץ,דופלקס, אשדוד,"[' רובע י""א']",1,4,7,100,"1,915,000 ₪"
0,1,1,1,0,0,1,1,1,0,2,1,20,חדש,דירה, אשדוד,"[' הקריה מע""ר']",1,5,12,170,"3,190,000 ₪"
0,1,0,1,0,0,1,0,0,0,ללא,,4,משופץ,דירה, אשדוד,"["" רובע ג'""]",1,3,4,60,"1,250,000 ₪"
0,1,1,0,0,1,1,1,0,1,ללא,1,7,משופץ,דירה, אשדוד,"["" רובע א'""]",0,5,3,140,"2,000,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,14,חדש,דירה, אשדוד,"[' רובע ט""ז']",0,5,7,177,"2,950,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,9,משופץ,דירה, אשדוד,"[' רובע י""ב']",0,6,1,210,"3,200,000 ₪"
0,1,0,0,0,0,1,1,0,0,1,,8,משופץ,דירה, אשדוד,"["" רובע ה'""]",,4,6,106,"1,650,000 ₪"
1,1,1,1,0,1,1,1,1,0,2,1,14,משופץ,דירה, אשדוד,"["" רובע ה'""]",0,4,13,147,"2,000,000 ₪"
1,1,0,1,1,0,1,0,1,1,ללא,1,3,משופץ,גג/פנטהאוז, אשדוד,"["" רובע ג'""]",1,5,3,120,"1,600,000 ₪"
0,0,0,1,0,0,1,1,0,1,1,1,9,דרוש שיפוץ,דירה, אשדוד,"["" רובע ה'""]",1,3,9,105,"1,590,000 ₪"
0,,,,,,,,,,,,,,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",1,4.5,7,130,"2,200,000 ₪"
0,0,1,0,1,1,1,0,1,0,1,,7,חדש,דירת גן, אשדוד,"["" רובע ח'""]",0,4,קרקע,230,"2,300,000 ₪"
1,1,1,0,1,1,1,1,0,0,ללא,2,7,חדש,דירה, אשדוד,"["" רובע ד'""]",1,4,6,130,"1,800,000 ₪"
1,,,,,0,,,0,,,,,,מגרשים,מגרשים,[],1,-,קרקע,100,"360,000 ₪"
0,0,0,0,0,0,1,1,0,0,ללא,,8,במצב שמור,דירה, אשדוד,"["" רובע א'""]",1,5,7,120,"1,950,000 ₪"
1,1,0,1,0,0,1,1,0,0,2,1,7,משופץ,דירה, אשדוד,"[' רובע י""א']",1,4,7,118,"2,199,999 ₪"
0,1,1,0,0,1,1,1,1,0,1,1,12,משופץ,דירה, אשדוד,"[' רובע ט""ז']",0,5,1,140,"2,750,000 ₪"
0,1,0,0,0,0,1,0,0,0,ללא,1,3,משופץ,דירה, אשדוד,"["" רובע י'""]",0,3,2,69,"1,300,000 ₪"
0,1,1,1,0,1,1,1,1,1,1,1,13,משופץ,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",0,4,6,130,"2,300,000 ₪"
0,1,0,1,0,1,1,1,0,0,ללא,,8,משופץ,,,,1,,,,
1,1,1,0,0,1,1,1,1,1,1,1,6,במצב שמור,דירה, אשדוד,[],,3.5,2,100,"1,590,000 ₪"
0,1,0,0,0,0,1,0,0,0,1,,4,משופץ,דירה, אשדוד,"["" רובע ג'""]",0,2.5,4,50,"1,150,000 ₪"
0,1,1,0,0,0,0,0,1,0,ללא,1,7,משופץ,דירה, אשדוד,"["" רובע ד'""]",1,4,2,114,"1,620,000 ₪"
0,0,1,0,0,0,1,1,0,0,1,1,12,במצב שמור,דירה, אשדוד,"[' רובע ט""ז']",1,4,1,128,"1,975,000 ₪"
0,1,1,0,0,1,1,1,1,0,1,1,10,משופץ,דירה, אשדוד,[],1,4,7,120,"1,850,000 ₪"
1,1,1,0,0,1,0,1,0,0,ללא,1,7,חדש מקבלן,דירה, אשדוד,"["" רובע ו'""]",1,4,5,110,"1,500,000 ₪"
0,1,1,1,0,0,1,0,1,0,ללא,1,1,חדש,דירה, אשדוד,"["" רובע א'""]",0,3,1,89,"1,490,000 ₪"
1,1,0,0,0,0,1,1,0,0,ללא,,6,משופץ,דירה, אשדוד,"["" רובע ב'""]",1,4,6,112,"1,345,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,7,משופץ,דירה, אשדוד,[],0,5,6,160,"1,870,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,,11,במצב שמור,דירה, אשדוד,"["" רובע א'""]",1,2,1,64,"1,150,000 ₪"
1,1,0,1,0,1,1,1,0,0,1,1,9,משופץ,דירה, אשדוד,"[' רובע י""א']",1,4,8,130,"2,020,000 ₪"
0,1,1,1,0,1,1,1,1,0,1,1,12,משופץ,דירה, אשדוד,"[' רובע ט""ז']",1,5,1,160,"2,490,000 ₪"
0,1,1,1,0,0,1,0,1,0,2,2,1,חדש,גג/פנטהאוז, אשדוד,[' מרינה'],1,7,1,350,לא צוין מחיר
0,0,0,0,0,0,0,0,0,0,ללא,,2,במצב שמור,דירה,דירה,[],1,2.5,2,50,"940,000 ₪"
0,0,0,0,0,1,1,1,0,0,1,1,9,במצב שמור,דירה, אשדוד,"[' רובע י""א']",0,4,1,115,"1,649,999 ₪"
0,1,1,0,0,0,1,1,1,1,1,1,9,משופץ,דירה, אשדוד,"[' רובע י""ב']",0,4.5,6,148,"2,280,000 ₪"
0,1,1,1,0,1,1,1,0,1,1,2,7,משופץ,דירה, אשדוד,"[' רובע י""ב']",0,5,6,140,"2,650,000 ₪"
0,1,1,1,0,0,1,1,0,0,3,2,7,משופץ,גג/פנטהאוז, אשדוד,"[' רובע י""ב']",1,5,7,337,"3,890,000 ₪"
0,0,1,0,0,1,0,1,0,0,ללא,1,7,חדש מקבלן,דירה,דירה,[],0,4,5,110,"1,650,000 ₪"
0,1,1,1,0,1,1,0,1,0,1,,1,משופץ,דירת גן, אשדוד,"[' רובע י""ג']",1,5,קרקע,127,"2,940,000 ₪"
0,1,1,0,0,1,1,1,0,0,ללא,1,7,במצב שמור,דירה,דירה,[],1,5,4,125,"1,850,000 ₪"
0,1,1,1,0,0,1,1,1,0,2,1,20,חדש,דירה, אשדוד,"[' הקריה מע""ר']",1,5,12,170,"3,190,000 ₪"
0,1,0,1,0,0,1,0,0,0,ללא,,4,משופץ,דירה, אשדוד,"["" רובע ג'""]",1,3,4,60,"1,250,000 ₪"
1,1,1,0,0,1,1,1,0,1,ללא,1,7,משופץ,דירה, אשדוד,"["" רובע א'""]",1,5,3,140,"2,000,000 ₪"
1,0,1,1,0,1,1,1,1,0,1,1,14,חדש,דירה, אשדוד,"[' רובע ט""ז']",0,5,7,177,"2,950,000 ₪"
0,1,1,1,0,1,1,1,0,0,1,1,9,משופץ,דירה, אשדוד,"[' רובע י""ב']",0,6,1,210,"3,200,000 ₪"
0,1,0,0,0,0,1,1,0,0,1,,8,משופץ,דירה, אשדוד,"["" רובע ה'""]",0,4,6,106,"1,650,000 ₪"
0,1,1,1,1,1,1,1,1,1,2,1,14,משופץ,דירה, אשדוד,"["" רובע ה'""]",1,4,13,147,"2,000,000 ₪"
1,,,,,,,,,,,,,,גג/פנטהאוז, אשדוד,"["" רובע ג'""]",1,5,3,120,"1,600,000 ₪"
1,0,0,1,0,0,1,1,0,1,1,1,9,דרוש שיפוץ,דירה, אשדוד,"["" רובע ה'""]",1,3,9,105,"1,590,000 ₪"
0,0,1,0,0,0,1,1,1,0,1,1,9,במצב שמור,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",1,4.5,7,130,"2,200,000 ₪"
1,0,1,0,1,1,1,0,1,0,1,,7,חדש,דירת גן, אשדוד,"["" רובע ח'""]",1,4,קרקע,230,"2,300,000 ₪"
0,1,1,0,1,1,1,1,0,0,ללא,2,7,חדש,דירה, אשדוד,"["" רובע ד'""]",1,4,6,130,"1,800,000 ₪"
0,,,,,0,,,0,,,,,,מגרשים,מגרשים,[],1,-,קרקע,100,"360,000 ₪"
0,0,0,0,0,0,1,1,0,0,ללא,,8,במצב שמור,דירה, אשדוד,"["" רובע א'""]",1,5,7,120,"1,950,000 ₪"
0,1,0,1,0,0,1,1,0,0,2,1,7,משופץ,דירה, אשדוד,"[' רובע י""א']",1,4,7,118,"2,199,999 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,12,משופץ,דירה, אשדוד,"[' רובע ט""ז']",1,5,1,140,"2,750,000 ₪"
0,1,0,0,0,0,1,0,0,0,ללא,1,3,משופץ,דירה, אשדוד,"["" רובע י'""]",1,3,2,69,"1,300,000 ₪"
0,1,1,1,0,1,1,1,1,1,1,1,13,משופץ,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",1,4,6,130,"2,300,000 ₪"
0,0,0,0,0,0,1,0,0,0,1,1,8,משופץ,,,,1,,,,
0,0,1,0,0,1,1,1,0,0,1,1,8,במצב שמור,דירה, אשדוד,"[' רובע י""ג']",1,4,6,110,"1,700,000 ₪"
1,1,1,1,1,1,1,1,1,1,3,3,,משופץ,בית פרטי/קוטג', אשדוד,[],1,9,קרקע,900,לא צוין מחיר
0,1,1,1,0,1,1,1,1,1,1,1,6,חדש,גג/פנטהאוז, אשדוד,"["" רובע ד'""]",1,5,6,180,"4,650,000 ₪"
1,1,1,1,1,1,1,1,1,0,2,1,22,חדש,גג/פנטהאוז,גג/פנטהאוז,[],1,5,22,350,"7,000,000 ₪"
0,1,0,1,1,0,1,0,0,1,ללא,,4,במצב שמור,דירה, אשדוד,"["" רובע ה'""]",1,3,1,75,"1,350,000 ₪"
0,1,0,1,0,1,1,1,0,0,ללא,,10,משופץ,דירה, אשדוד,[],,4,6,130,"1,880,000 ₪"
1,0,1,0,0,1,1,1,0,0,1,1,9,דרוש שיפוץ,דירה, אשדוד,"["" רובע ה'""]",0,4.5,5,140,"1,850,000 ₪"
0,0,0,0,0,0,1,0,0,0,ללא,,4,במצב שמור,דירה, אשדוד,"["" רובע ה'""]",1,3,4,75,"1,330,000 ₪"
0,1,0,1,1,0,1,0,0,0,ללא,,3,במצב שמור,דירה,דירה,[],1,2,1,55,לא צוין מחיר
0,1,0,1,1,0,1,0,0,1,1,,4,משופץ,דירה, אשדוד,[],1,2.5,2,56,לא צוין מחיר
0,1,1,1,0,1,1,1,0,0,ללא,3,6,חדש,דירה, אשדוד,"["" רובע ד'""]",0,4,6,110,"1,770,000 ₪"
0,1,0,0,0,0,1,0,0,0,ללא,1,7,במצב שמור,דירה,דירה,[],1,4,4,100,"1,500,000 ₪"
0,1,1,1,1,1,1,1,1,1,ללא,,10,משופץ,דופלקס,דופלקס,[],1,6.5,9,220,"2,400,000 ₪"
0,1,1,0,0,1,1,1,1,0,1,1,11,משופץ,דירה, אשדוד,"[' רובע י""א']",1,5,4,150,"2,520,000 ₪"
0,1,1,1,0,1,1,1,0,1,1,1,7,משופץ,דירה, אשדוד,"["" רובע ד'""]",1,4,2,114,"1,590,000 ₪"
0,1,1,0,0,1,0,1,0,0,ללא,1,7,חדש מקבלן,דירה, אשדוד,[],0,4,5,106,"1,440,000 ₪"
0,1,1,0,0,1,0,1,0,0,ללא,1,7,חדש מקבלן,דירת גן, אשדוד,[],0,4,קרקע,138,"1,550,000 ₪"
0,1,0,1,0,1,1,1,0,0,ללא,,10,במצב שמור,דירה, אשדוד,"["" רובע ד'""]",0,4,2,150,"1,740,000 ₪"
0,1,0,,1,0,1,1,0,0,2,,4,,דירה, רמת גן,"[' שכונת בן גוריון', "" מרכז העיר ג'""]",1,3.5,3,"2,950 ₪",
1,0,0,,0,0,0,0,0,0,ללא,2,,,בית פרטי/קוטג', ראשון לציון,[' נווה חוף'],,1,קרקע,"2,000 ₪",
1,1,0,,1,0,1,0,0,0,ללא,,3,,דירה, חולון,"[' מרכז', ' קרית עבודה']",0,5,3,"1,700 ₪",
